order_id,tanggal_pembelian,nama_pelanggan,kota,produk,merek,harga_satuan,jumlah,total_harga,metode_pembayaran,rating,status_pengiriman
ORD00084,2025/06/06,Maimunah Marpaung,gorontalo,OPPO Reno10,oppo,1,3,48419319,Transfer Bank,4,Terkirim
ORD00085,2025-07-02,Lanang Nuraini,Tebingtinggi,Vivo V29,Vivo,8682500,1,8682500,Transfer Bank,5,Terkirim
ORD00086,2025/01/28,Kariman Haryanti,Pangkalpinang,OPPO Reno10,OPPO,16139773,,16139773,COD,2,Terkirim
ORD00087,,Wardaya Mangunsong,tanjungpinang,Poco X5,xiaomi,9263873,2,18527746,E-Wallet,4,Gagal
ORD00088,02-07-2025,"Laila Nainggolan, S.Kom",Ambon,Galaxy A14,Samsung,15965299,2,31930598,Transfer Bank,4,Terkirim
ORD00089,,Ir. Lanang Yuliarti,parepare,Galaxy S23,samsung,5131304,3,15393912,Transfer Bank,4,Terkirim
ORD00090,2025-06-01,Puspa Nasyidah,Pariaman,Galaxy S23,Samsung,5131304,3,,E-Wallet,4,Terkirim
ORD00091,2025-04-05,Salsabila Puspita,Tarakan,Poco X5,Xiaomi,9263873,3,27791619,E-Wallet,4,
ORD00092,05-07-2025,"Dalima Wibowo, S.IP",Cimahi,OPPO Reno10,OPPO,16139773,3,48419319,COD,5,Terkirim
ORD00093,2025-06-13,,Tangerang Selatan,Poco X5,Xiaomi,9263873,1,9263873,Transfer Bank,2,Terkirim
ORD00094,,"Dartono Agustina, S.Pt",Lhokseumawe,Poco X5,Xiaomi,9263873,2,18527746,COD,2,Dalam Pengiriman
ORD00095,06-25-2025,Daruna Habibi,Purwokerto,iPhone 13,Apple,11425080,1,11425080,Transfer Bank,4,Terkirim
ORD00096,2025-03-04,"R. Icha Irawan, M.Farm",Batu,iPhone 14 Pro,Apple,9443827,3,28331481,E-Wallet,4,Terkirim
ORD00097,2025-07-07,Kasiyah Winarsih,sabang,Vivo Y27,vivo,13747665,3,41242995,E-Wallet,3,Terkirim
ORD00098,2025-01-29,Paramita Manullang,Lubuklinggau,Galaxy S23,Samsung,5131304,2,10262608,COD,2,Terkirim
ORD00099,2025-06-22,"R.M. Irwan Nashiruddin, M.Ak",Serang,iPhone 13,Apple,99999999,1,11425080,COD,2,Terkirim
ORD00100,2025-04-05,"Bahuwirya Wibisono, S.Sos",PADANGPANJANG,Poco X5,XIAOMI,9263873,1,9263873,E-Wallet,5,Dalam Pengiriman
ORD00101,2025-07-13,Ajeng Sitompul,,Vivo V29,vivo,8682500,3,26047500,E-Wallet,3,Terkirim
ORD00102,01-31-2025,Himawan Agustina,METRO,OPPO Reno10,OPPO,16139773,2,32279546,Transfer Bank,3,Terkirim
ORD00103,02-16-2025,Danu Firmansyah,Pagaralam,iPhone 14 Pro,Apple,9443827,1,9443827,Kartu Kredit,3,Terkirim
ORD00104,2025/05/01,"Ir. Adinata Permadi, S.T.",Tidore Kepulauan,iPhone 14 Pro,Apple,9443827,2,18887654,Transfer Bank,3,Terkirim
ORD00105,05-31-2025,T. Hartaka Nasyiah,Bengkulu,Galaxy S23,Samsung,5131304,2,10262608,E-Wallet,2,Terkirim
ORD00106,2025/04/28,Cut Pia Rahayu,Makassar,Galaxy S23,,5131304,1,5131304,E-Wallet,4,Terkirim
ORD00107,2025-02-05,"Hj. Ami Firmansyah, S.E.I",Denpasar,Galaxy A14,Samsung,15965299,1,15965299,Transfer Bank,2,Terkirim
ORD00108,06-11-2025,"Harjasa Permata, S.Pt",BANJARMASIN,Vivo Y27,VIVO,13747665,3,41242995,Transfer Bank,5,Terkirim
ORD00109,07-25-2025,Prayoga Manullang,,Redmi Note 12,Xiaomi,15542345,1,15542345,Transfer Bank,3,Terkirim
,2025-01-30,H. Kenzie Siregar,tarakan,Galaxy S23,samsung,5131304,1,5131304,Kartu Kredit,4,Terkirim
ORD00111,2025/02/15,Usman Waskita,Mojokerto,iPhone 14 Pro,Apple,9443827,,9443827,E-Wallet,5,Terkirim
ORD00112,02-16-2025,,SINGKAWANG,iPhone 13,APPLE,11425080,3,34275240,Kartu Kredit,4,Dalam Pengiriman
ORD00113,2025-07-15,"Drs. Anastasia Lestari, M.M.",Kota Administrasi Jakarta Timur,Poco X5,Xiaomi,9263873,2,18527746,Transfer Bank,4,Terkirim
ORD00114,2025-06-26,Tgk. Violet Andriani,bandung,OPPO Reno10,oppo,16139773,3,48419319,Transfer Bank,3,Terkirim
ORD00115,2025/06/26,"Kania Haryanto, S.E.",Kota Administrasi Jakarta Timur,Galaxy S23,Samsung,5131304,3,15393912,E-Wallet,3,Terkirim
ORD00116,01-26-2025,Dewi Nugroho,METRO,,OPPO,16139773,1,16139773,Kartu Kredit,4,Terkirim
ORD00117,2025/02/23,"Hj. Ulva Rahayu, S.Psi",,Vivo Y27,Vivo,13747665,1,13747665,Kartu Kredit,5,Terkirim
ORD00118,2025/05/26,Drs. Violet Utama,Kupang,iPhone 14 Pro,Apple,9443827,3,28331481,Kartu Kredit,4,Terkirim
ORD00119,2025-06-01,Karna Lestari,,OPPO Reno10,OPPO,16139773,3,48419319,Transfer Bank,4,Terkirim
ORD00120,04-29-2025,Gasti Wastuti,Payakumbuh,Galaxy S23,Samsung,5131304,1,5131304,E-Wallet,4,Gagal
ORD00121,04-25-2025,"dr. Latika Januar, S.Gz",Pariaman,Realme C55,Realme,1,1,6183710,COD,4,Terkirim
ORD00122,2025-06-03,,Cilegon,Poco X5,Xiaomi,99999999,1,9263873,COD,2,Terkirim
ORD00123,2025-04-29,Saiful Wacana,Bandung,Realme 11 Pro,Realme,1743334,2,3486668,E-Wallet,,Terkirim
ORD00124,2025-07-02,R. Teddy Firmansyah,PADANGPANJANG,Galaxy A14,SAMSUNG,15965299,1,15965299,Transfer Bank,5,Terkirim
ORD00125,2025-05-19,R.M. Kamal Budiman,PEMATANGSIANTAR,Redmi Note 12,XIAOMI,15542345,2,31084690,E-Wallet,3,Terkirim
ORD00126,2025-04-15,Bagus Nashiruddin,Ambon,Realme 11 Pro,Realme,1743334,,1743334,COD,4,Terkirim
ORD00127,2025-02-25,Oni Anggriawan,parepare,Realme C55,realme,6183710,1,6183710,Kartu Kredit,3,Dalam Pengiriman
ORD00128,2025/06/04,Dinda Haryanto,Bima,Realme 11 Pro,Realme,1743334,3,5230002,COD,4,Terkirim
ORD00129,2025-03-27,Makuta Sitompul,BINJAI,OPPO A57,,500000000,2,27702062,E-Wallet,2,Terkirim
ORD00130,2025/04/05,H. Jagaraga Siregar,pangkalpinang,Vivo Y27,vivo,13747665,3,41242995,E-Wallet,,Terkirim
ORD00131,2025/03/07,"Nardi Natsir, M.Kom.",Banjarbaru,Realme C55,Realme,,2,12367420,E-Wallet,5,Gagal
ORD00132,2025-03-22,Hasna Pratama,Kendari,OPPO Reno10,OPPO,16139773,1,16139773,Transfer Bank,3,Gagal
ORD00133,2025-06-30,Dalima Hidayat,Surabaya,Poco X5,,9263873,1,9263873,COD,4,Gagal
ORD00134,07-04-2025,Yusuf Andriani,Tegal,Galaxy S23,Samsung,5131304,1,5131304,E-Wallet,,Terkirim
ORD00135,2025-04-11,"Vino Santoso, S.Psi",Kota Administrasi Jakarta Barat,Redmi Note 12,Xiaomi,15542345,3,46627035,E-Wallet,5,Terkirim
ORD00136,2025-04-14,"Harsaya Yulianti, S.IP",langsa,OPPO A57,oppo,13851031,2,27702062,COD,3,Terkirim
ORD00137,,Bella Anggriawan,kendari,Realme C55,realme,6183710,2,12367420,COD,3,Terkirim
ORD00138,2025/03/09,Zamira Setiawan,Tanjungpinang,Realme 11 Pro,Realme,1743334,1,1743334,Transfer Bank,3,Terkirim
ORD00139,2025-03-29,Ir. Anita Firgantoro,denpasar,iPhone 14 Pro,apple,9443827,,28331481,Kartu Kredit,5,Terkirim
,2025-05-11,Jayeng Maulana,kota administrasi jakarta utara,OPPO Reno10,oppo,16139773,1,16139773,E-Wallet,5,Terkirim
ORD00141,07-02-2025,"Dalima Zulkarnain, S.I.Kom",ternate,Galaxy A14,samsung,15965299,1,15965299,COD,4,Terkirim
ORD00142,2025-04-18,Gilang Nugroho,SUBULUSSALAM,iPhone 13,APPLE,11425080,2,22850160,E-Wallet,5,Terkirim
ORD00143,03-12-2025,Omar Nasyiah,Jayapura,,Samsung,5131304,3,15393912,E-Wallet,4,Terkirim
ORD00144,2025-03-18,Dina Rahmawati,Magelang,,Realme,1743334,1,1743334,Transfer Bank,4,Terkirim
ORD00145,2025-06-13,Restu Budiyanto,Kota Administrasi Jakarta Pusat,Vivo Y27,Vivo,13747665,2,27495330,COD,2,Terkirim
ORD00146,2025-05-09,"Sabrina Susanti, S.I.Kom",Mataram,Vivo Y27,Vivo,13747665,3,41242995,Transfer Bank,5,Terkirim
ORD00147,2025-06-13,"Zulaikha Lestari, S.I.Kom",Palu,Realme C55,Realme,6183710,1,6183710,COD,2,Terkirim
ORD00148,,Karsa Hariyah,pematangsiantar,Realme C55,realme,6183710,2,12367420,COD,5,Terkirim
ORD00149,2025-07-05,Irfan Lailasari,Pontianak,Vivo Y27,Vivo,13747665,3,41242995,Kartu Kredit,5,Terkirim
ORD00150,2025-06-13,Saadat Sitompul,Binjai,,OPPO,16139773,1,16139773,COD,4,Terkirim
ORD00151,2025/02/13,Lintang Hidayat,Sungai Penuh,OPPO Reno10,OPPO,16139773,2,32279546,COD,1,Terkirim
ORD00152,2025-01-26,"Ir. Harsaya Adriansyah, M.Ak",Bitung,OPPO A57,OPPO,13851031,2,27702062,E-Wallet,3,Terkirim
ORD00153,2025-05-07,Sutan Carub Mayasari,Mojokerto,Vivo V29,Vivo,8682500,2,17365000,COD,3,Dalam Pengiriman
ORD00154,2025-05-07,"drg. Usyi Uyainah, M.Farm",Sibolga,Vivo Y27,Vivo,13747665,1,,COD,3,Terkirim
ORD00155,2025-02-18,"Suci Padmasari, S.I.Kom",Pagaralam,Realme C55,Realme,6183710,3,18551130,E-Wallet,2,Terkirim
ORD00156,2025-05-17,Clara Natsir,padangpanjang,Redmi Note 12,xiaomi,15542345,2,31084690,Transfer Bank,5,Terkirim
ORD00157,2025-05-18,Jamalia Suartini,bekasi,iPhone 13,apple,11425080,2,,Transfer Bank,4,Terkirim
ORD00158,2025/01/26,Vivi Irawan,Banjarbaru,Galaxy A14,Samsung,15965299,3,47895897,Transfer Bank,3,Terkirim
ORD00159,04-23-2025,Nova Laksita,mojokerto,Poco X5,xiaomi,9263873,2,18527746,COD,3,Terkirim
ORD00160,04-29-2025,Yuni Santoso,Binjai,,Apple,9443827,1,9443827,Transfer Bank,4,Terkirim
ORD00161,2025-02-14,"Drs. Maya Mangunsong, M.Kom.",Bima,Galaxy S23,Samsung,5131304,3,15393912,Transfer Bank,4,Terkirim
ORD00162,2025/01/28,Kani Mulyani,Blitar,Poco X5,Xiaomi,,1,9263873,Transfer Bank,4,Terkirim
ORD00163,2025/06/01,Kenzie Nainggolan,Binjai,Realme 11 Pro,Realme,1743334,3,5230002,Kartu Kredit,5,Terkirim
,2025-05-29,Prabawa Nasyidah,TIDORE KEPULAUAN,Realme C55,REALME,1,2,12367420,Transfer Bank,4,Terkirim
ORD00165,2025-03-24,"Carla Palastri, M.Kom.",Bau-Bau,Galaxy A14,Samsung,15965299,2,31930598,COD,,Terkirim
ORD00166,2025-06-02,"Warta Firgantoro, S.Kom",Tanjungpinang,Vivo V29,Vivo,8682500,1,8682500,E-Wallet,5,Terkirim
ORD00167,2025-03-06,Drajat Purwanti,Sungai Penuh,OPPO A57,OPPO,13851031,1,13851031,Transfer Bank,3,Terkirim
ORD00168,07-07-2025,"Dt. Lurhur Gunarto, S.H.",Meulaboh,OPPO A57,OPPO,13851031,2,,Transfer Bank,5,Terkirim
ORD00169,2025-05-09,Edison Januar,PEKALONGAN,Realme C55,REALME,6183710,1,6183710,COD,2,Terkirim
ORD00170,04-26-2025,"Uli Marbun, M.TI.",Bontang,Galaxy S23,Samsung,5131304,3,15393912,Transfer Bank,5,Terkirim
ORD00171,2025-07-15,Chelsea Mandasari,tangerang selatan,Redmi Note 12,xiaomi,15542345,3,46627035,COD,3,Terkirim
ORD00172,2025-04-28,Lukita Anggraini,blitar,OPPO Reno10,oppo,16139773,1,16139773,E-Wallet,5,Terkirim
ORD00173,2025/05/14,R. Paiman Saefullah,Bandar Lampung,Vivo V29,Vivo,8682500,,17365000,Transfer Bank,5,Terkirim
ORD00174,2025-01-30,Alambana Prasetya,Sawahlunto,Vivo Y27,Vivo,,2,27495330,COD,5,Terkirim
ORD00175,2025-02-23,Sutan Adhiarja Namaga,samarinda,Galaxy S23,samsung,,3,15393912,E-Wallet,5,Terkirim
ORD00176,2025-05-13,"Ir. Ilsa Hartati, S.T.",PALEMBANG,Redmi Note 12,XIAOMI,15542345,2,31084690,E-Wallet,3,Terkirim
ORD00177,2025/03/10,Sabrina Sihotang,Jayapura,Realme C55,Realme,6183710,2,12367420,Transfer Bank,2,Terkirim
ORD00178,06-02-2025,Chelsea Zulaika,Tidore Kepulauan,OPPO A57,OPPO,13851031,3,41553093,Transfer Bank,4,Terkirim
ORD00179,2025-07-01,"Jefri Narpati, M.M.",bandung,OPPO Reno10,oppo,16139773,3,48419319,Kartu Kredit,3,Terkirim
ORD00180,2025/04/15,"Martaka Uwais, S.Ked",palopo,iPhone 14 Pro,apple,9443827,3,28331481,Kartu Kredit,,Terkirim
ORD00181,2025-03-25,Drs. Bagas Hardiansyah,Sawahlunto,Realme 11 Pro,Realme,1743334,2,3486668,Kartu Kredit,3,
ORD00182,03-08-2025,,Mojokerto,Vivo V29,Vivo,8682500,2,17365000,Kartu Kredit,5,Terkirim
ORD00183,2025-05-27,,Sawahlunto,Galaxy A14,Samsung,15965299,3,47895897,Transfer Bank,4,Terkirim
ORD00184,2025/02/05,Drs. Jati Astuti,Padang,iPhone 14 Pro,Apple,9443827,1,9443827,E-Wallet,5,Terkirim
ORD00185,2025-03-29,Laksana Rajata,METRO,Realme C55,REALME,6183710,2,12367420,Transfer Bank,,Terkirim
ORD00186,2025/06/08,Dinda Nasyidah,Ambon,Galaxy S23,Samsung,,3,15393912,Transfer Bank,5,Terkirim
ORD00187,03-19-2025,"drg. Farah Prastuti, S.Ked",Bontang,Redmi Note 12,Xiaomi,15542345,3,46627035,Transfer Bank,5,Terkirim
ORD00188,2025-03-30,Bahuwirya Yulianti,Malang,iPhone 14 Pro,Apple,9443827,2,18887654,Transfer Bank,4,Terkirim
ORD00189,2025-07-09,,lhokseumawe,Galaxy A14,samsung,15965299,1,15965299,E-Wallet,4,Terkirim
ORD00190,2025-04-18,Hardana Saputra,Bau-Bau,Realme 11 Pro,Realme,1743334,3,5230002,Kartu Kredit,5,Terkirim
ORD00191,02-11-2025,"Drs. Yusuf Kusumo, M.M.",Kupang,Galaxy A14,Samsung,15965299,1,15965299,Transfer Bank,3,Terkirim
ORD00192,2025-07-10,Paiman Yuliarti,Malang,Redmi Note 12,Xiaomi,15542345,2,31084690,E-Wallet,4,Terkirim
ORD00193,2025-02-14,Gawati Hutapea,BIMA,Galaxy A14,SAMSUNG,15965299,3,47895897,COD,3,Terkirim
,2025-05-29,Gaiman Nainggolan,Ambon,Galaxy S23,Samsung,5131304,2,10262608,E-Wallet,2,Dalam Pengiriman
ORD00195,01-29-2025,"Tantri Mahendra, S.Farm",Tangerang,Realme C55,Realme,6183710,2,12367420,E-Wallet,3,Dalam Pengiriman
ORD00196,2025/06/08,Laila Utami,tidore kepulauan,Realme C55,realme,6183710,3,18551130,E-Wallet,2,Terkirim
ORD00197,2025-04-17,Purwadi Siregar,TUAL,Vivo V29,VIVO,8682500,3,26047500,COD,1,Terkirim
ORD00198,2025/03/21,Radit Iswahyudi,Sukabumi,OPPO A57,OPPO,13851031,3,41553093,Kartu Kredit,2,Dalam Pengiriman
ORD00199,06-03-2025,"Intan Kuswoyo, S.I.Kom",PALOPO,Redmi Note 12,XIAOMI,15542345,2,31084690,Kartu Kredit,5,Terkirim
ORD00200,2025/06/30,Salsabila Susanti,pekanbaru,Galaxy S23,samsung,5131304,2,10262608,Transfer Bank,4,Terkirim
ORD00201,2025-04-11,dr. Raisa Santoso,Batam,Realme C55,Realme,6183710,3,18551130,E-Wallet,5,Dalam Pengiriman
ORD00202,07-25-2025,Genta Maryadi,,iPhone 14 Pro,Apple,9443827,1,9443827,Transfer Bank,4,Terkirim
